Hobbies,Skills,Interest,University,Dedication_Hours_Per_Week,Sports/Clubs,Choice_of_Selection,Course_Fee,Learning_Environment,Assessment,Desired_Industries,Predicted Degree
Sports,Programming,Business,Esoft Metro Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Analytics,Science
Art,Problem Solving,Technology,Informatics Institute of Technology,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Art,Arts
Music,Problem Solving,Engineering,Informatics Institute of Technology,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Law,Arts
Reading,Leadership,Business,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Exams,Software Engineering,Arts
Art,Problem Solving,Arts,Esoft Metro Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Reports,Art,Arts
Reading,Problem Solving,Arts,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Reading,Problem Solving,Business,ICBT Campus,20 - 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Management,Arts
Sports,Programming,Science,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,AI & Data Science,Science
Art,Leadership,Business,ICBT Campus,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Exams,Software Engineering,Arts
Art,Communication,Engineering,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Management,Arts
Sports,Programming,Science,ICBT Campus,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Cyber Security,Science
Music,Problem Solving,Arts,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Information Systems,Arts
Reading,Programming,Business,Esoft Metro Campus,10 - 20 hours,Yes,Internship,"More than Rs 3,000,000/=",Online Lectures,Reports,Network Security,Arts
Travel,Problem Solving,Technology,ICBT Campus,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Reading,Problem Solving,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Art,Arts
Reading,Programming,Engineering,Esoft Metro Campus,Over 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,AI & Data Science,Arts
Music,Leadership,Technology,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Management,Arts
Reading,Problem Solving,Business,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Sports,Leadership,Business,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Software Engineering,Science
Sports,Communication,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Business Information Systems,Science
Art,Problem Solving,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Healthcare,Arts
Travel,Leadership,Engineering,Informatics Institute of Technology,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Analytics,Arts
Reading,Leadership,Science,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Presentations,Business Management,Arts
Reading,Communication,Engineering,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Exams,Healthcare,Arts
Music,Leadership,Engineering,ICBT Campus,Under 10 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,AI & Data Science,Arts
Sports,Leadership,Business,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Computer Science,Science
Travel,Communication,Science,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Art,Problem Solving,Business,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Presentations,Business Analytics,Arts
Sports,Leadership,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Business Information Systems,Science
Art,Leadership,Business,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,Cyber Security,Arts
Music,Leadership,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Healthcare,Arts
Music,Programming,Business,ICBT Campus,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Business Analytics,Arts
Reading,Communication,Science,Esoft Metro Campus,Under 10 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Software Engineering,Arts
Travel,Programming,Business,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Computer Science,Arts
Art,Communication,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Computer Science,Arts
Sports,Problem Solving,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Network Security,Science
Music,Problem Solving,Arts,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Business Information Systems,Arts
Reading,Leadership,Science,Asia Pacific Institute of Information Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Art,Arts
Reading,Communication,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Computer Science,Arts
Art,Problem Solving,Science,Esoft Metro Campus,20 - 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Computer Science,Arts
Music,Communication,Science,ICBT Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Large Lectures,Exams,Cyber Security,Arts
Travel,Problem Solving,Arts,Informatics Institute of Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Law,Arts
Music,Programming,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Cyber Security,Arts
Art,Problem Solving,Engineering,Informatics Institute of Technology,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Cyber Security,Arts
Art,Programming,Science,Asia Pacific Institute of Information Technology,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Law,Arts
Music,Problem Solving,Business,Esoft Metro Campus,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Business Information Systems,Arts
Art,Leadership,Technology,Esoft Metro Campus,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Business Analytics,Arts
Music,Programming,Business,Informatics Institute of Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Reports,AI & Data Science,Arts
Sports,Problem Solving,Business,ICBT Campus,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Art,Science
Music,Leadership,Science,Sri Lanka Institute of Information Technology,Under 10 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Computer Science,Arts
Music,Programming,Science,Esoft Metro Campus,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Network Security,Arts
Art,Leadership,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Art,Arts
Art,Communication,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Reading,Communication,Engineering,ICBT Campus,20 - 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Law,Arts
Reading,Programming,Science,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Exams,Art,Arts
Sports,Problem Solving,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Computer Science,Science
Reading,Programming,Engineering,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Art,Arts
Music,Leadership,Science,ICBT Campus,Over 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,AI & Data Science,Arts
Art,Problem Solving,Arts,Esoft Metro Campus,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Healthcare,Arts
Reading,Communication,Technology,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Law,Arts
Reading,Problem Solving,Business,Esoft Metro Campus,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Art,Arts
Sports,Communication,Engineering,Esoft Metro Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,Computer Science,Science
Sports,Problem Solving,Technology,Esoft Metro Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Reports,Computer Science,Science
Music,Problem Solving,Arts,Asia Pacific Institute of Information Technology,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Art,Arts
Art,Problem Solving,Business,ICBT Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Presentations,Healthcare,Arts
Sports,Leadership,Business,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Information Systems,Science
Reading,Leadership,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Art,Programming,Science,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Business Management,Arts
Art,Programming,Arts,ICBT Campus,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Reading,Communication,Engineering,Informatics Institute of Technology,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Law,Arts
Sports,Leadership,Arts,Informatics Institute of Technology,10 - 20 hours,Yes,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Business Management,Science
Reading,Communication,Science,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Business Analytics,Arts
Art,Programming,Science,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Travel,Communication,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Online Lectures,Reports,Computer Science,Arts
Travel,Programming,Science,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Business Analytics,Arts
Music,Leadership,Technology,Esoft Metro Campus,20 - 30 hours,No,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Information Systems,Arts
Reading,Problem Solving,Business,Sri Lanka Institute of Information Technology,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Network Security,Arts
Reading,Leadership,Engineering,ICBT Campus,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Business Analytics,Arts
Music,Communication,Arts,ICBT Campus,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,AI & Data Science,Arts
Music,Communication,Technology,Esoft Metro Campus,Under 10 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Network Security,Arts
Music,Leadership,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Exams,Business Information Systems,Arts
Art,Leadership,Science,Informatics Institute of Technology,Under 10 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Healthcare,Arts
Reading,Programming,Science,Informatics Institute of Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Management,Arts
Art,Communication,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Music,Communication,Science,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Network Security,Arts
Reading,Leadership,Arts,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Management,Arts
Art,Problem Solving,Technology,ICBT Campus,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Art,Communication,Business,ICBT Campus,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Healthcare,Arts
Music,Problem Solving,Arts,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Presentations,Business Analytics,Arts
Reading,Leadership,Arts,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Computer Science,Arts
Music,Leadership,Business,Informatics Institute of Technology,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Law,Arts
Reading,Programming,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Travel,Communication,Science,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Presentations,Business Management,Arts
Sports,Problem Solving,Arts,Informatics Institute of Technology,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Management,Science
Sports,Programming,Engineering,Informatics Institute of Technology,10 - 20 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Healthcare,Science
Sports,Communication,Business,ICBT Campus,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Management,Science
Music,Programming,Business,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Management,Arts
Travel,Leadership,Technology,Esoft Metro Campus,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Law,Arts
Reading,Communication,Engineering,Informatics Institute of Technology,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Law,Arts
Art,Programming,Engineering,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Reading,Programming,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Art,Arts
Art,Problem Solving,Science,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Arts
Reading,Programming,Technology,Informatics Institute of Technology,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Software Engineering,Arts
Travel,Communication,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Business Management,Arts
Art,Communication,Business,ICBT Campus,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Music,Problem Solving,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Reading,Communication,Technology,Informatics Institute of Technology,Over 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Presentations,Art,Arts
Reading,Leadership,Technology,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Art,Communication,Arts,Informatics Institute of Technology,10 - 20 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Reports,Computer Science,Arts
Music,Communication,Business,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Software Engineering,Arts
Music,Programming,Technology,Informatics Institute of Technology,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Software Engineering,Arts
Travel,Programming,Arts,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Healthcare,Arts
Music,Communication,Arts,ICBT Campus,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Analytics,Arts
Music,Problem Solving,Engineering,ICBT Campus,Under 10 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Computer Science,Arts
Music,Programming,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Network Security,Arts
Sports,Problem Solving,Arts,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Law,Science
Travel,Communication,Engineering,ICBT Campus,10 - 20 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Presentations,Cyber Security,Arts
Reading,Communication,Technology,ICBT Campus,Over 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Art,Arts
Art,Leadership,Science,ICBT Campus,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Reading,Programming,Technology,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Analytics,Arts
Travel,Communication,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Healthcare,Arts
Art,Leadership,Arts,Informatics Institute of Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Reports,Art,Arts
Travel,Programming,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Business Management,Arts
Music,Communication,Engineering,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Cyber Security,Arts
Art,Communication,Engineering,Esoft Metro Campus,20 - 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Cyber Security,Arts
Music,Programming,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Law,Arts
Reading,Programming,Business,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Healthcare,Arts
Reading,Programming,Engineering,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Business Information Systems,Arts
Art,Communication,Technology,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Presentations,Cyber Security,Arts
Art,Communication,Engineering,Asia Pacific Institute of Information Technology,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Travel,Leadership,Technology,Informatics Institute of Technology,Under 10 hours,No,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Arts
Travel,Problem Solving,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,AI & Data Science,Arts
Music,Programming,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Exams,AI & Data Science,Arts
Art,Communication,Technology,Esoft Metro Campus,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Business Management,Arts
Reading,Communication,Arts,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Business Management,Arts
Travel,Programming,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Business Information Systems,Arts
Travel,Problem Solving,Technology,Informatics Institute of Technology,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,AI & Data Science,Arts
Reading,Programming,Business,ICBT Campus,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Management,Arts
Travel,Problem Solving,Business,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Cyber Security,Arts
Music,Communication,Science,Informatics Institute of Technology,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Business Management,Arts
Art,Problem Solving,Engineering,Esoft Metro Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Presentations,Software Engineering,Arts
Reading,Leadership,Technology,Sri Lanka Institute of Information Technology,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Art,Communication,Business,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Travel,Leadership,Science,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Computer Science,Arts
Travel,Programming,Arts,Esoft Metro Campus,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Network Security,Arts
Reading,Programming,Technology,Informatics Institute of Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Healthcare,Arts
Music,Programming,Business,Esoft Metro Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Computer Science,Arts
Sports,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Computer Science,Science
Reading,Communication,Science,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Online Lectures,Exams,Law,Arts
Sports,Programming,Business,ICBT Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Healthcare,Science
Sports,Programming,Engineering,Esoft Metro Campus,Under 10 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Business Analytics,Science
Music,Communication,Business,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Management,Arts
Sports,Programming,Technology,Informatics Institute of Technology,10 - 20 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Law,Science
Sports,Leadership,Technology,Informatics Institute of Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Exams,Computer Science,Science
Music,Communication,Technology,Esoft Metro Campus,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Exams,Healthcare,Arts
Sports,Communication,Science,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Software Engineering,Science
Sports,Communication,Technology,ICBT Campus,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Network Security,Science
Sports,Leadership,Engineering,Informatics Institute of Technology,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Computer Science,Science
Reading,Communication,Business,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Exams,AI & Data Science,Arts
Reading,Leadership,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Reading,Communication,Engineering,Informatics Institute of Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Business Analytics,Arts
Music,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Travel,Programming,Technology,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Sports,Problem Solving,Science,ICBT Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Information Systems,Science
Sports,Programming,Business,ICBT Campus,Under 10 hours,Yes,Internship,"Less than Rs 1,000,000/=",Large Lectures,Exams,Cyber Security,Science
Music,Leadership,Science,Asia Pacific Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Reports,Art,Arts
Sports,Problem Solving,Business,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Network Security,Science
